FYR,AMOUNT,DEPTNAME,SUBDEPTNAME,VENDORNAME
Fiscal 12/13,250,Police,Police-Investigations,METROPCS WIRELESS INC
Fiscal 12/13,666.7,Police,Police-Investigations,MILNE TOW SERVICE
Fiscal 12/13,240,Police,Police-Investigations,NATIONAL TOW & ROAD SERVICE
Fiscal 12/13,1255.3,Police,Police-Investigations,NEVADA PACKAGING SOLUTIONS
Fiscal 12/13,491.5,Police,Police-Investigations,NEVADA RUBBER STAMP CO INC
Fiscal 12/13,25.9,Police,Police-Investigations,NEVADA STATE BANK PUBLIC FINANCE
Fiscal 12/13,40,Police,Police-Investigations,"NEVADA TOWING, INC"
Fiscal 12/13,1414.23,Police,Police-Investigations,NEXTEL COMMUNICATIONS
Fiscal 12/13,4862.77,Police,Police-Investigations,OFFICEMAX
Fiscal 12/13,81.2,Police,Police-Investigations,OHLIN SALES INC
Fiscal 12/13,6.5,Police,Police-Investigations,OREGON DEPARTMENT OF TRANSPORTATION
Fiscal 12/13,161.63,Police,Police-Investigations,PETTY CASH-POLICE
Fiscal 12/13,230,Police,Police-Investigations,RAY MORGAN CO. INC.
Fiscal 12/13,35,Police,Police-Investigations,RENO CARSON MESSENGER SERVICE
Fiscal 12/13,2597,Police,Police-Investigations,RFI SECURITY INC
Fiscal 12/13,468.96,Police,Police-Investigations,SAFETY ON SITE
Fiscal 12/13,1010,Police,Police-Investigations,SIERRA PACIFIC POWER COMPANY
Fiscal 12/13,90,Police,Police-Investigations,SIGNS BY TOMORROW
Fiscal 12/13,860,Police,Police-Investigations,SILVER STATE TOWING OF NORTHERN NEVADA
Fiscal 12/13,4222.91,Police,Police-Investigations,SPECIAL INVESTIGATION
Fiscal 12/13,5547.94,Police,Police-Investigations,SPRINT 
Fiscal 12/13,1231,Police,Police-Investigations,"STANLEY CONVERGENT SECURITY SOLUTIONS, INC."
Fiscal 12/13,12.4,Police,Police-Investigations,SUBPOENA PROCESSING DEPARTMENT
Fiscal 12/13,977,Police,Police-Investigations,SYSTEM ID WAREHOUSE
Fiscal 12/13,61.5,Police,Police-Investigations,"TACTICAL COMMAND INDUSTRIES, INC."
Fiscal 12/13,2542.92,Police,Police-Investigations,TRANS UNION CORPORATION
Fiscal 12/13,450,Police,Police-Investigations,TRAUMA INTERVENTION PROGRAM OF NORTHERN NEVADA
Fiscal 12/13,10662,Police,Police-Investigations,TRIAL SCIENCE INC
Fiscal 12/13,10.25,Police,Police-Investigations,UNIFORMITY INC
Fiscal 12/13,1500,Police,Police-Investigations,UNITED PARCEL SERVICE
Fiscal 12/13,19037.26,Police,Police-Investigations,VERIZON WIRELESS
Fiscal 12/13,1200,Police,Police-Investigations,WASHOE COUNTY SCHOOL DISTRICT
Fiscal 12/13,38,Police,Police-Investigations,WATSON JOSHUA
Fiscal 12/13,622.5,Police,Police-Investigations,WORLDSCOUT CORPORATION
Fiscal 12/13,2219.96,Police,Police-PT & R-Training,AIRGAS INC
Fiscal 12/13,26.47,Police,Police-PT & R-Training,ALLIED WASHOE
Fiscal 12/13,1923.68,Police,Police-PT & R-Training,B & H PHOTO - VIDEO INC
Fiscal 12/13,3696.65,Police,Police-PT & R-Training,COPQUEST
Fiscal 12/13,518.76,Police,Police-PT & R-Training,COSTCO
Fiscal 12/13,2875,Police,Police-PT & R-Training,CROWN POINTE TECHNOLOGIES INC
Fiscal 12/13,541.49,Police,Police-PT & R-Training,GALL'S INC
Fiscal 12/13,119.54,Police,Police-PT & R-Training,"GOVCONNECTION, INC"
Fiscal 12/13,1770.05,Police,Police-PT & R-Training,HOME DEPOT
Fiscal 12/13,938.62,Police,Police-PT & R-Training,LEXISNEXIS MATTHEW BENDER
Fiscal 12/13,20.51,Police,Police-PT & R-Training,NEXTEL COMMUNICATIONS
Fiscal 12/13,743.52,Police,Police-PT & R-Training,OFFICEMAX
Fiscal 12/13,25.59,Police,Police-PT & R-Training,PETTY CASH-POLICE
Fiscal 12/13,674,Police,Police-PT & R-Training,RAY MORGAN CO. INC.
Fiscal 12/13,1433.8,Police,Police-PT & R-Training,SANI HUT
Fiscal 12/13,245.77,Police,Police-PT & R-Training,SPRINT 
Fiscal 12/13,400.56,Police,Police-PT & R-Training,THOMSON WEST
Fiscal 12/13,249.01,Police,Police-PT & R-Training,VERIZON WIRELESS
Fiscal 12/13,1536,Police,Police-PT & R-Training,WASHOE COUNTY REGIONAL PARKS AND OPEN SPACE
Fiscal 12/13,70039.45,Police,Police-PT & R-Training,WASHOE COUNTY REGIONAL PUBLIC SAFETY TRAINING CNTR
Fiscal 12/13,3900.95,Police,Police-Patrol-Crime Prevention,ABC FIRE AND CYLINDER SERVICE
Fiscal 12/13,396,Police,Police-Patrol-Crime Prevention,ADAMSON POLICE PRODUCTS
Fiscal 12/13,426.54,Police,Police-Patrol-Crime Prevention,ALHAMBRA AND SIERRA SPRINGS
Fiscal 12/13,209,Police,Police-Patrol-Crime Prevention,ALL SEASONS WINDOW TINTING
Fiscal 12/13,1238.89,Police,Police-Patrol-Crime Prevention,ALLEGRA PRINT & IMAGING
Fiscal 12/13,71066.24,Police,Police-Patrol-Crime Prevention,APPLEONE EMPLOYMENT SERVICES
Fiscal 12/13,6279.94,Police,Police-Patrol-Crime Prevention,AT&T
Fiscal 12/13,2808.93,Police,Police-Patrol-Crime Prevention,B & H PHOTO - VIDEO INC
Fiscal 12/13,139.9,Police,Police-Patrol-Crime Prevention,BATTERIES PLUS
Fiscal 12/13,545.08,Police,Police-Patrol-Crime Prevention,BOTACH TACTICAL
Fiscal 12/13,4062.44,Police,Police-Patrol-Crime Prevention,CHEVRON & TEXACO CARD SERVICES
Fiscal 12/13,5326,Police,Police-Patrol-Crime Prevention,COPLOGIC  INC
Fiscal 12/13,7613.04,Police,Police-Patrol-Crime Prevention,COPQUEST
Fiscal 12/13,1508,Police,Police-Patrol-Crime Prevention,COSTCO
Fiscal 12/13,655,Police,Police-Patrol-Crime Prevention,DESERT ORDNANCE  LLC
Fiscal 12/13,54199.8,Police,Police-Patrol-Crime Prevention,DOOLEY ENTERPRISES INC
Fiscal 12/13,4452.94,Police,Police-Patrol-Crime Prevention,ENTENMANN ROVIN
Fiscal 12/13,337.85,Police,Police-Patrol-Crime Prevention,FEATURE AWARDS
Fiscal 12/13,36,Police,Police-Patrol-Crime Prevention,FEDEX KINKO'S
Fiscal 12/13,624.5,Police,Police-Patrol-Crime Prevention,FITNESS2GO
Fiscal 12/13,566,Police,Police-Patrol-Crime Prevention,FLAG STORE
Fiscal 12/13,3319.6,Police,Police-Patrol-Crime Prevention,GALL'S INC
Fiscal 12/13,4365,Police,Police-Patrol-Crime Prevention,GATEWAY SAFETY PRODUCTS
Fiscal 12/13,129.36,Police,Police-Patrol-Crime Prevention,GLOBALSTAR USA
Fiscal 12/13,2380.86,Police,Police-Patrol-Crime Prevention,"GOVCONNECTION, INC"
Fiscal 12/13,1560.53,Police,Police-Patrol-Crime Prevention,GRAINGER
Fiscal 12/13,131.32,Police,Police-Patrol-Crime Prevention,GREAT BASIN BICYCLES INC
Fiscal 12/13,4910,Police,Police-Patrol-Crime Prevention,H2O ENVIRONMENTAL
Fiscal 12/13,1160,Police,Police-Patrol-Crime Prevention,HECKLER & KOCH INC
Fiscal 12/13,1160,Police,Police-Patrol-Crime Prevention,HINITZ LTD
Fiscal 12/13,353.63,Police,Police-Patrol-Crime Prevention,HOME DEPOT
Fiscal 12/13,315,Police,Police-Patrol-Crime Prevention,JANT PHARMACAL CORP
Fiscal 12/13,3288,Police,Police-Patrol-Crime Prevention,JIMMY'S EXPRESS CAR WASH
Fiscal 12/13,5603.52,Police,Police-Patrol-Crime Prevention,KLAICH ANIMAL HOSPITAL
Fiscal 12/13,2829.84,Police,Police-Patrol-Crime Prevention,LIFE ASSIST INC
Fiscal 12/13,28,Police,Police-Patrol-Crime Prevention,METRO CARWASH
Fiscal 12/13,15064.8,Police,Police-Patrol-Crime Prevention,MICROFLEX
Fiscal 12/13,26725,Police,Police-Patrol-Crime Prevention,MILLER'S SCHOOL JACKETS
Fiscal 12/13,664,Police,Police-Patrol-Crime Prevention,NEVADA RUBBER STAMP CO INC
Fiscal 12/13,400,Police,Police-Patrol-Crime Prevention,NEVADA STATE HEALTH DIVISION
Fiscal 12/13,2224.64,Police,Police-Patrol-Crime Prevention,NEXTEL COMMUNICATIONS
Fiscal 12/13,367.5,Police,Police-Patrol-Crime Prevention,NORTH AMERICAN EMBROIDERY
Fiscal 12/13,1766.21,Police,Police-Patrol-Crime Prevention,OFFICE DEPOT
Fiscal 12/13,4161.52,Police,Police-Patrol-Crime Prevention,OFFICEMAX
Fiscal 12/13,81.2,Police,Police-Patrol-Crime Prevention,OHLIN SALES INC
Fiscal 12/13,243.25,Police,Police-Patrol-Crime Prevention,PEERLESS CLEANERS
Fiscal 12/13,38.98,Police,Police-Patrol-Crime Prevention,"PETCO ANIMAL SUPPLIES STORES, INC"
Fiscal 12/13,419.89,Police,Police-Patrol-Crime Prevention,PETTY CASH-POLICE
Fiscal 12/13,3559.25,Police,Police-Patrol-Crime Prevention,"PROFORCE MARKETING, INC"
Fiscal 12/13,6799.94,Police,Police-Patrol-Crime Prevention,"QUARTERMASTER,INC."
Fiscal 12/13,411.6,Police,Police-Patrol-Crime Prevention,RADIATION DETECTION CO
Fiscal 12/13,7765,Police,Police-Patrol-Crime Prevention,RAIL CITY CARWASH
Fiscal 12/13,1780,Police,Police-Patrol-Crime Prevention,RAY MORGAN CO. INC.
Fiscal 12/13,390,Police,Police-Patrol-Crime Prevention,"RECONROBOTICS, INC."
Fiscal 12/13,3338.4,Police,Police-Patrol-Crime Prevention,REMSA
Fiscal 12/13,703.47,Police,Police-Patrol-Crime Prevention,RENO EYE CARE FOR ANIMALS LLC
Fiscal 12/13,376.1,Police,Police-Patrol-Crime Prevention,RFI SECURITY INC
Fiscal 12/13,228.29,Police,Police-Patrol-Crime Prevention,SAFARI LAND LLC
Fiscal 12/13,202.63,Police,Police-Patrol-Crime Prevention,SAFEGUARD BUSINESS SYSTEMS INC
Fiscal 12/13,1102.63,Police,Police-Patrol-Crime Prevention,SAFEGUARD WEB & GRAPHICS
Fiscal 12/13,19593.75,Police,Police-Patrol-Crime Prevention,SALT LAKE WHOLESALE SPORTS
Fiscal 12/13,95,Police,Police-Patrol-Crime Prevention,SAM'S SPARKLE SHOP
Fiscal 12/13,45,Police,Police-Patrol-Crime Prevention,SHRED-IT
Fiscal 12/13,1820,Police,Police-Patrol-Crime Prevention,SIERRA BMW MOTORCYCLE
Fiscal 12/13,49.99,Police,Police-Patrol-Crime Prevention,SOTO
Fiscal 12/13,3060,Police,Police-Patrol-Crime Prevention,SPECIALTY HEALTH
Fiscal 12/13,52703.98,Police,Police-Patrol-Crime Prevention,SPRINT 
Fiscal 12/13,563,Police,Police-Patrol-Crime Prevention,STEARNS WEAR
Fiscal 12/13,4623.86,Police,Police-Patrol-Crime Prevention,"STONE MOUNTAIN, LTD."
Fiscal 12/13,5.5,Police,Police-Patrol-Crime Prevention,STROSHINE ERIC
Fiscal 12/13,35,Police,Police-Patrol-Crime Prevention,"TACTICAL COMMAND INDUSTRIES, INC."
Fiscal 12/13,2297,Police,Police-Patrol-Crime Prevention,TARGETS ONLINE
Fiscal 12/13,878.95,Police,Police-Patrol-Crime Prevention,TASER INTERNATIONAL INC.
Fiscal 12/13,1320.17,Police,Police-Patrol-Crime Prevention,TELEVISION EQUIPMENT ASSOC INC
Fiscal 12/13,1932,Police,Police-Patrol-Crime Prevention,TERRIBLE HERBST OIL COMPANY
Fiscal 12/13,49881.82,Police,Police-Patrol-Crime Prevention,THE ADVANTAGE GROUP
Fiscal 12/13,56,Police,Police-Patrol-Crime Prevention,THOLL FENCE INC
Fiscal 12/13,8,Police,Police-Patrol-Crime Prevention,TITTERINGTON
Fiscal 12/13,778.65,Police,Police-Patrol-Crime Prevention,TRAF-O-TERIA
Fiscal 12/13,42817.73,Police,Police-Patrol-Crime Prevention,UNIFORMITY INC
Fiscal 12/13,727.5,Police,Police-Patrol-Crime Prevention,UNIT COINS
Fiscal 12/13,11410,Police,Police-Patrol-Crime Prevention,"VERIPIC, INC."
Fiscal 12/13,27226.45,Police,Police-Patrol-Crime Prevention,VERIZON WIRELESS
Fiscal 12/13,151.84,Police,Police-Patrol-Crime Prevention,XEROX CORPORATION
Fiscal 12/13,419.74,Police,Police-Patrol-Gang Enforcement,AT&T MOBILITY
Fiscal 12/13,590.04,Police,Police-Patrol-Gang Enforcement,BASALITE
Fiscal 12/13,20572.9,Police,Police-Patrol-Gang Enforcement,BORRAYO
Fiscal 12/13,3820.98,Police,Police-Patrol-Gang Enforcement,COLEMAN
Fiscal 12/13,128,Police,Police-Patrol-Gang Enforcement,FEATURE AWARDS
Fiscal 12/13,299.36,Police,Police-Patrol-Gang Enforcement,GRAINGER
Fiscal 12/13,11973.35,Police,Police-Patrol-Gang Enforcement,KELLY MOORE PAINT CO INC
Fiscal 12/13,802.61,Police,Police-Patrol-Gang Enforcement,NEXTEL COMMUNICATIONS
Fiscal 12/13,449.96,Police,Police-Patrol-Gang Enforcement,OFFICEMAX
Fiscal 12/13,95,Police,Police-Patrol-Gang Enforcement,PETTY CASH-POLICE
Fiscal 12/13,1303.07,Police,Police-Patrol-Gang Enforcement,ROADLINE PRODUCTS INC USA
Fiscal 12/13,706.1,Police,Police-Patrol-Gang Enforcement,SPRINT 
Fiscal 12/13,285.84,Police,Police-Patrol-Gang Enforcement,"STANLEY CONVERGENT SECURITY SOLUTIONS, INC."
Fiscal 12/13,25167.1,Police,Police-Patrol-Gang Enforcement,SUHL
Fiscal 12/13,1293.08,Police,Police-Patrol-Gang Enforcement,SUNRISE ENVIRONMENTAL SCIENTIFIC
Fiscal 12/13,402.17,Police,Police-Patrol-Gang Enforcement,UNIFORMITY INC
Fiscal 12/13,8493.46,Police,Police-Patrol-Gang Enforcement,VERIZON WIRELESS
Fiscal 12/13,359.6,Police,Police-Patrol-Police Service Technician,B & H PHOTO - VIDEO INC
Fiscal 12/13,72,Police,Police-Patrol-Police Service Technician,FLAG STORE
Fiscal 12/13,31.72,Police,Police-Patrol-Police Service Technician,HOME DEPOT
Fiscal 12/13,144,Police,Police-Patrol-Police Service Technician,KELLY MOORE PAINT CO INC
Fiscal 12/13,198.13,Police,Police-Patrol-Police Service Technician,OFFICEMAX
Fiscal 12/13,136.33,Police,Police-Patrol-Police Service Technician,PETTY CASH-POLICE
Fiscal 12/13,16.32,Police,Police-Patrol-Police Service Technician,SAFETY ON SITE
Fiscal 12/13,162,Police,Police-Patrol-Police Service Technician,SHRED-IT
Fiscal 12/13,367.5,Police,Police-Patrol-Police Service Technician,SYSTEM ID WAREHOUSE
Fiscal 12/13,92.94,Police,Police-Patrol-Police Service Technician,TRUCKEE MEADOWS WATER SYSTEMS INC
Fiscal 12/13,296.89,Police,Police-Patrol-Police Service Technician,YESCO
Fiscal 12/13,1025,Police,Police-Patrol-Traffic,BESTEST INC
Fiscal 12/13,272.16,Police,Police-Patrol-Traffic,BRAZOS TECHNOLOGY CORPORATION
Fiscal 12/13,568.16,Police,Police-Patrol-Traffic,COSTCO
Fiscal 12/13,1328,Police,Police-Patrol-Traffic,CRASH DATA GROUP
Fiscal 12/13,42.98,Police,Police-Patrol-Traffic,DEAL
Fiscal 12/13,925.08,Police,Police-Patrol-Traffic,ELECTRO ALLIANCE INC
Fiscal 12/13,185.5,Police,Police-Patrol-Traffic,ENTENMANN ROVIN
Fiscal 12/13,179.75,Police,Police-Patrol-Traffic,FEATURE AWARDS
Fiscal 12/13,186.9,Police,Police-Patrol-Traffic,GRAINGER
Fiscal 12/13,248.96,Police,Police-Patrol-Traffic,GUTH LABORATORIES INC
Fiscal 12/13,39.95,Police,Police-Patrol-Traffic,NEVADA RUBBER STAMP CO INC
Fiscal 12/13,124.66,Police,Police-Patrol-Traffic,NEXTEL COMMUNICATIONS
Fiscal 12/13,884.2,Police,Police-Patrol-Traffic,OFFICEMAX
Fiscal 12/13,42.98,Police,Police-Patrol-Traffic,PROFFITT
Fiscal 12/13,1134.96,Police,Police-Patrol-Traffic,SETCOM CORPORATION
Fiscal 12/13,455,Police,Police-Patrol-Traffic,SIERRA BMW MOTORCYCLE
Fiscal 12/13,443.8,Police,Police-Patrol-Traffic,SUPER SEER CORPORATION
Fiscal 12/13,112,Police,Police-Patrol-Traffic,THOLL FENCE INC
Fiscal 12/13,2094.69,Police,Police-Patrol-Traffic,UNIFORMITY INC
Fiscal 12/13,1770.65,Police,Police-Patrol-Traffic,VERIZON WIRELESS
Fiscal 12/13,960,Police,Police-Program & Service Management,ACCESSDATA GROUP LLC
Fiscal 12/13,115,Police,Police-Program & Service Management,ADAMSON BRIAN
Fiscal 12/13,22085.9,Police,Police-Program & Service Management,ADAMSON POLICE PRODUCTS
Fiscal 12/13,124,Police,Police-Program & Service Management,AIMS OPERATING CORP INC
Fiscal 12/13,467.38,Police,Police-Program & Service Management,ALHAMBRA AND SIERRA SPRINGS
Fiscal 12/13,567,Police,Police-Program & Service Management,ALL SEASONS WINDOW TINTING
Fiscal 12/13,79,Police,Police-Program & Service Management,ALPINE LOCK AND KEY INC
Fiscal 12/13,811.91,Police,Police-Program & Service Management,AMERIGLO LLC
Fiscal 12/13,750,Police,Police-Program & Service Management,AMPLITUDE LLC
Fiscal 12/13,2500,Police,Police-Program & Service Management,ANCHOR DOOR & HARDWARE INC
Fiscal 12/13,525,Police,Police-Program & Service Management,ANDELIN
Fiscal 12/13,113177.13,Police,Police-Program & Service Management,ARC HEALTH AND WELLNESS CENTERS LLC
Fiscal 12/13,3511.5,Police,Police-Program & Service Management,ARTISTIC FENCE CO INC
Fiscal 12/13,1034.83,Police,Police-Program & Service Management,AT&T
Fiscal 12/13,1710.85,Police,Police-Program & Service Management,BANK OF AMERICA - CARDS
Fiscal 12/13,154.52,Police,Police-Program & Service Management,BARTHE
Fiscal 12/13,270,Police,Police-Program & Service Management,BASSETT
Fiscal 12/13,600,Police,Police-Program & Service Management,BERLA CORPORATION
Fiscal 12/13,766.98,Police,Police-Program & Service Management,BIGHAM STEVE
Fiscal 12/13,215.5,Police,Police-Program & Service Management,BLAS
Fiscal 12/13,97.98,Police,Police-Program & Service Management,BOARD OF REGENTS-UNR M/S 124
Fiscal 12/13,7117.68,Police,Police-Program & Service Management,BOARD OF REGENTS-UNR M/S250
Fiscal 12/13,370.75,Police,Police-Program & Service Management,BOND
Fiscal 12/13,295,Police,Police-Program & Service Management,BROADWAY
Fiscal 12/13,265.5,Police,Police-Program & Service Management,BROUKER JAY
Fiscal 12/13,485,Police,Police-Program & Service Management,BUENO
Fiscal 12/13,69,Police,Police-Program & Service Management,BURFIELD
Fiscal 12/13,4500,Police,Police-Program & Service Management,C B SMITH TRAINING & CONSULTING LTD
Fiscal 12/13,410.11,Police,Police-Program & Service Management,CAMPBELL
